name;id;popularity;genres
Taylor Swift;06HL4z0CvFAxyc27GXpf02;100;['pop']
Bad Bunny;4q3ewBCX7sLwd24euuV69X;97;['reggaeton', 'trap latino', 'urbano latino']
Drake;3TVXtAsR1Inumwj472S9r4;97;['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']
The Weeknd;1Xyo4u8uXC1ZmMpatF05PJ;97;['canadian contemporary r&b', 'canadian pop', 'pop']
Feid;2LRoIwlKmHjgvigdNGBHNo;93;['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']
21 Savage;1URnnhqYAYcrqrcwql10ft;92;['atl hip hop', 'hip hop', 'rap', 'trap']
Eminem;7dGJo4pcD2V6oG8kP0tJRR;92;['detroit hip hop', 'hip hop', 'rap']
Karol G;790FomKkXshlbRYZFtlgla;92;['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']
Morgan Wallen;4oUHIQIBe0LHzYfvXNW4QM;92;['contemporary country']
SZA;7tYKF4w9nC0nq9CsPZTHyP;92;['pop', 'r&b', 'rap']
Ariana Grande;66CXWjxzNUsdJxJ2JdwvnR;91;['pop']
BTS;3Nrfpe0tUJi4K4DXYWgMUX;91;['k-pop', 'k-pop boy group', 'pop']
Ed Sheeran;6eUKZXaKkcviH0Ku9w2n3V;91;['pop', 'uk pop']
Kanye West;5K4W6rqBFWDnAN6FQUkS6x;91;['chicago rap', 'hip hop', 'rap']
Lana Del Rey;00FQb4jTyendYWaN8pK0wa;91;['art pop', 'pop']
Rihanna;5pKCCKE2ajJHZ9KAiaK11H;91;['barbadian pop', 'pop', 'urban contemporary']
Shakira;0EmeFodog0BfCgMzAIvKQp;91;['colombian pop', 'dance pop', 'latin pop', 'pop']
Future;1RyvyyTE3xzB2ZywiAwp0i;90;['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']
Justin Bieber;1uNFoZAHBGtllmzznpCI3s;90;['canadian pop', 'pop']
Metro Boomin;0iEtIxbK0KxaSlF7G42ZOp;90;['hip hop', 'rap', 'trap']
Miley Cyrus;5YGY8feqx7naU7z4HrwZM6;90;['pop']
Rauw Alejandro;1mcTU81TzQhprhouKaTkpq;90;['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']
Travis Scott;0Y5tJX1MQlPlqiwlOH1tJY;90;['hip hop', 'rap', 'slap house']
Anuel Aa;2R21vXR83lH98kGeO99Y66;89;['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']
Arijit Singh;4YRxDV8wJFPHPTeXepOstw;89;['desi pop', 'filmi', 'modern bollywood']
Billie Eilish;6qqNVTkY8uBg9cP3Jd7DAH;89;['art pop', 'electropop', 'pop']
Coldplay;4gzpq5DPGxSnKTe4SA8HAU;89;['permanent wave', 'pop']
David Guetta;1Cs0zKBU1kc0i8ypK3B9ai;89;['big room', 'dance pop', 'edm', 'pop', 'pop dance']
Harry Styles;6KImCVD70vtIoJWnq6nGn3;89;['pop']
Imagine Dragons;53XhwfbYqKCa1cC15pYq2q;89;['modern rock', 'pop', 'rock']
Kendrick Lamar;2YZyLoL8N0Wb9xBt1NhZWg;89;['conscious hip hop', 'hip hop', 'rap', 'west coast rap']
Lil Baby;5f7VJjfbwm532GiveGC0ZK;89;['atl hip hop', 'atl trap', 'rap', 'trap']
Ozuna;1i8SpTcr7yvPOmcqrbnVXY;89;['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']
Post Malone;246dkjvS1zLTtiykXe5h60;89;['dfw rap', 'melodic rap', 'pop', 'rap']
Tyler, The Creator;4V8LLVI7PbaPR0K2TGSxFF;89;['hip hop', 'rap']
Bruno Mars;0du5cEVh5yTK9QJze8zA0C;88;['dance pop', 'pop']
Chris Brown;7bXgB6jMjp9ATFy66eO08Z;88;['r&b', 'rap']
Daddy Yankee;4VMYDCV2IEDYJArk749S6m;88;['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']
Dua Lipa;6M2wZ9GZgrQXHCFfjv46we;88;['dance pop', 'pop', 'uk pop']
Myke Towers;7iK8PXO48WeuP03g8YR51W;88;['reggaeton', 'trap latino', 'urbano latino']
Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;87;['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']
Beyoncé;6vWDO969PvNqNYHIOW5v0m;87;['pop', 'r&b']
Calvin Harris;7CajNmpbOovFoOoasH2HaY;87;['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']
Doja Cat;5cj0lLjcoR7YOSnhnX0Po5;87;['dance pop', 'pop']
Eladio Carrion;5XJDexmWFLWOkjOEjOVX3e;87;['trap boricua', 'trap latino', 'trap triste', 'urbano latino']
J Balvin;1vyhD5VmyZ7KMfW5gqLgo5;87;['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']
J. Cole;6l3HvQ5sa6mXTsMTB19rO5;87;['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']
Lil Uzi Vert;4O15NlyKLIASxsJ0PrXPfz;87;['melodic rap', 'philly rap', 'rage rap', 'rap']
Linkin Park;6XyY86QOPPrYVGvF9ch6wz;87;['alternative metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']
Nicki Minaj;0hCNtLu0JehylgoiP8L4Gh;87;['hip pop', 'pop', 'queens hip hop', 'rap']
Pritam;1wRPtKGflJrBx9BmLsSwlU;87;['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']
ROSALÍA;7ltDVBr6mKbRvohxheJ9h1;87;['pop', 'r&b en espanol']
Sam Smith;2wY79sveU1sp5g7SokKOiI;87;['pop', 'uk pop']
XXXTENTACION;15UsOTVnJzReFVN1VCnxy4;87;['emo rap', 'miami hip hop']
$uicideBoy$;1VPmR4DJC1PlOtd0IADAO0;86;['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']
Adele;4dpARuHxo51G3z768sgnrY;86;['british soul', 'pop', 'pop soul', 'uk pop']
Arcangel;4SsVbpTthjScTS7U2hmr1X;86;['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']
BLACKPINK;41MozSoPIsD1dJM0CLPjZF;86;['k-pop', 'k-pop girl group', 'pop']
Kali Uchis;1U1el3k54VvEUzo3ybLPlM;86;['colombian pop']
Khalid;6LuN9FCkKOj5PcnpouEgny;86;['pop', 'pop r&b']
Lady Gaga;1HY2Jd0NmPuamShAr6KMms;86;['art pop', 'dance pop', 'pop']
Lil Wayne;55Aa2cqylxrFIXC767Z865;86;['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']
Luke Combs;718COspgdWOnwOFpJHRZHS;86;['contemporary country', 'country']
Maroon 5;04gDigrS5kc9YWfZHwBETP;86;['pop']
Melanie Martinez;63yrD80RY3RNEM2YDpUpO8;86;['alt z', 'electropop', 'pop']
One Direction;4AK6F7OLvEQ5QYCBNiQWHq;86;['boy band', 'pop', 'post-teen pop', 'talent show']
Selena Gomez;0C8ZW7ezQVs4URX5aX7Kqx;86;['pop', 'post-teen pop']
Frank Ocean;2h93pZq0e7k5yf4dywlkpM;85;['lgbtq+ hip hop', 'neo soul']
JAY Z;3nFkdlSjzX9mRTtwJOzDYB;85;['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']
Katy Perry;6jJ0s89eD6GaHleKKya26X;85;['pop']
Maluma;1r4hJ1h58CWwUQe3MxPuau;85;['latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']
Manuel Turizo;0tmwSHipWxN12fsoLcFU3B;85;['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']
NF;6fOMl44jA4Sp5b9PpYCkzz;85;['hip hop', 'pop rap']
Queen;1dfeR4HaWDbWqFHLkxsg1d;85;['classic rock', 'glam rock', 'rock']
Sia;5WUlDfRSoLAfcVSX1WnrxN;85;['australian dance', 'australian pop', 'pop']
The Beatles;3WrFJ7ztbogyGnTHbHJFl2;85;['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']
Tiësto;2o5jDhtHVPhrJdv3cEQ99Z;85;['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']
Young Thug;50co4Is1HCEo8bhOyUWKpn;85;['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']
50 Cent;3q7HBObVc0L8jNeTe5Gofh;84;['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']
